dataset,seed,accuracy,D_cov,D_size,D_is,A_cov,A_size,A_is,B_cov,B_size,B_is,B_r,C_cov,C_size,C_is,C_r,C_bw
ip,0,0.7128,0.899,2.0752,4.0952,0.8948,1.7476,3.8516,0.8932,1.6052,3.7412,5,0.9186,1.618,3.246,5,7
ip,1,0.6728,0.9016,2.3636,4.3316,0.8976,1.9264,3.9744,0.8982,1.7082,3.7442,5,0.9284,1.769,3.201,5,7
ip,2,0.6822,0.893,2.4718,4.6118,0.9024,2.0418,3.9938,0.9006,1.7546,3.7426,5,0.9236,1.7988,3.3268,5,10
ip,3,0.7022,0.9046,2.318,4.226,0.8938,1.8464,3.9704,0.8952,1.7034,3.7994,5,0.9164,1.6354,3.3074,5,7
ip,4,0.6928,0.9002,2.1068,4.1028,0.902,1.763,3.723,0.9002,1.504,3.5,5,0.9216,1.7768,3.3448,5,7
ip,5,0.701,0.8992,2.3146,4.3306,0.9092,1.9524,3.7684,0.9048,1.7356,3.6396,5,0.9226,1.7122,3.2602,5,10
ip,6,0.6608,0.8988,2.3246,4.3486,0.8938,2.0202,4.1442,0.8946,1.8612,3.9692,5,0.9206,1.8506,3.4386,5,10
ip,7,0.692,0.9138,2.5276,4.2516,0.9104,2.015,3.807,0.91,1.7684,3.5684,5,0.9352,1.8144,3.1104,5,7
ip,8,0.6436,0.8984,2.8158,4.8478,0.895,2.0276,4.1276,0.8952,1.7754,3.8714,5,0.9282,2.0284,3.4644,5,7
ip,9,0.7388,0.902,2.2818,4.2418,0.9106,1.9342,3.7222,0.9082,1.7394,3.5754,5,0.9224,1.7258,3.2778,5,15
pu,0,0.874382730564831,0.8999670789634576,1.1986079104547807,3.1992663311856275,0.9016601608427786,1.0617034284908056,3.028500211635235,0.9007195597987113,1.0378591920237032,3.0234679960494755,10,0.9084795184122655,1.0609509476555519,2.891360579410243,10,100
pu,1,0.8456003386163758,0.8988383577105771,1.2118233551239241,3.235056200912383,0.8988853877627804,1.1158350185768706,3.1381272633212625,0.9008606499553214,1.0933076235714623,3.0760946244650333,5,0.9065983163241311,1.1489441753280347,3.0169778488454124,5,10
pu,2,0.8691153647180548,0.8982269670319334,1.22311056765273,3.258571227014062,0.8984621172929502,1.0807505996331657,3.111508253774162,0.9031180924610827,1.0568123030616563,2.994450453840004,10,0.9107369609180266,1.1091097211117904,2.894370502751258,5,10
pu,3,0.8579222122936556,0.8988853877627804,1.1799369797300474,3.202229224474439,0.8999200489112543,1.0869115364718054,3.08851055824672,0.9001081691200677,1.0682406057470724,3.066077223345718,3,0.9141231246766683,1.1130602454968725,2.830597751963505,10,100
pu,4,0.8560880402577247,0.901189860320745,1.1948925363307152,3.171095329915816,0.901189860320745,1.0920378121619716,3.0682406057470724,0.9006254996943046,1.0666415839721581,3.054131590086065,5,0.9194375205756479,1.1276395616799135,2.7388891501669566,10,100
pu,5,0.8748060010346611,0.894887833325495,1.1427362084371913,3.2449795419272913,0.894887833325495,1.0494756149179325,3.151718948408033,0.8958284343695622,1.0362131401965857,3.1196444528053426,3,0.9143112448854819,1.0824907115646898,2.7962658138550536,10,100
pu,6,0.8646475097587358,0.9002022292244745,1.1382683534778724,3.1342237689883836,0.9007665898509147,1.0748248130555424,3.0594930160372478,0.8982269670319334,1.0560127921741993,3.0914734515355313,10,0.910125570239383,1.1036542350562009,2.9011428302685416,10,100
pu,7,0.8670930724733105,0.9022245214692188,1.1642759723463294,3.1197855429619525,0.8976626064054931,1.0668297041809716,3.1135775760711093,0.8982739970841368,1.0426562573484457,3.0771763156657106,5,0.9119127122231105,1.091050181065701,2.85279593660349,10,100
pu,8,0.8687861543526313,0.9007195597987113,1.2271081220900155,3.212716926115788,0.89789775666651,1.0729436109674082,3.11498847763721,0.8965809152048159,1.0378591920237032,3.1062408879273855,10,0.9106429008136199,1.115599868315854,2.9027418520434556,3,10
pu,9,0.8900437379485491,0.9018012509993886,1.1304143347599116,3.0943893147721395,0.901189860320745,1.0344730282650614,3.010675821850162,0.9014250105817617,1.012086723416263,2.983586511781028,5,0.9081503080468419,1.0673940648074118,2.9043879038705733,10,15
sa,0,0.8676317743132888,0.9019673348181143,1.255939123979213,3.2165924276169267,0.9005567928730512,1.0817371937639197,3.0706013363028952,0.9,1.0534892353377876,3.053489235337788,10,0.9142910170749814,1.116369710467706,2.8305493689680774,5,5
sa,1,0.8755753526354862,0.9002227171492205,1.1818856718634,3.17743132887899,0.8996659242761693,1.0646993318485523,3.071380846325167,0.8993689680772086,1.0358574610244988,3.0484780994803264,10,0.9112472160356347,1.075946547884187,2.851002227171492,10,10
sa,2,0.8834446919079436,0.9015219005196734,1.1921306607275426,3.161692650334076,0.9036005939123979,1.0635857461024498,2.9915738678544916,0.9005567928730512,1.0374907201187824,3.026354862657758,10,0.911841128433556,1.0724944320712695,2.8356718634001483,10,10
sa,3,0.8812546399406087,0.8998144023756496,1.1682628062360803,3.1719747587230884,0.9011878247958426,1.0602078693392725,3.03645137342242,0.901373422420193,1.040051967334818,3.0125835189309575,10,0.9091685226429101,1.070861172976986,2.8874907201187825,5,5
sa,4,0.8940237564959168,0.8988492947290274,1.1505939123979214,3.173608017817372,0.8972160356347438,1.033593170007424,3.0892724573125463,0.8958426132145508,1.0179658500371196,3.1011135857461025,5,0.9102821083890126,1.0790274684484038,2.8733853006681516,5,7
sa,5,0.8795100222717149,0.9036748329621381,1.1670749814402375,3.0935783221974757,0.9034521158129176,1.060467706013363,2.991425389755011,0.9017817371937639,1.0398663697104678,3.0042316258351893,5,0.9082034149962881,1.0815515961395694,2.9174832962138084,10,15
sa,6,0.8944320712694878,0.9028582034149963,1.1530066815144766,3.095842613214551,0.903192279138827,1.034038604305865,2.9701930215293246,0.9038975501113585,1.0171863400148478,2.9392353377876765,5,0.9117668893838159,1.0504825538233111,2.8151447661469935,10,10
sa,7,0.8479584261321456,0.9028953229398664,1.237268002969562,3.1793615441722345,0.8991462509279882,1.1098737936154417,3.1269487750556793,0.9003340757238307,1.0910913140311804,3.0844097995545656,10,0.918634001484781,1.1284706755753526,2.7557906458797325,10,30
sa,8,0.8921306607275427,0.9042316258351893,1.1572011878247959,3.07256867112101,0.9026354862657758,1.0403489235337788,2.987639198218263,0.904083147735709,1.024090571640683,2.942427616926503,10,0.910430586488493,1.0505939123979213,2.8419821826280622,10,15
sa,9,0.8638827023014105,0.9016703786191537,1.2157757980697848,3.1823682256867114,0.9016332590942836,1.086822568671121,3.054157386785449,0.9011878247958426,1.0621752041573869,3.0384187082405347,5,0.9114328136599852,1.1091314031180401,2.880475129918337,5,5
ksc,0,0.8016928657799275,0.8899637243047158,1.8258766626360339,4.026602176541717,0.8911729141475212,1.45304312777106,3.629584844820637,0.8883514711809755,1.30229746070133,3.535268037081822,10,0.9105199516324063,1.528415961305925,3.318016928657799,10,50
ksc,1,0.7654171704957679,0.9032648125755743,2.0318419991938734,3.966545747682386,0.9060862555421201,1.6582023377670294,3.536477226924627,0.9028617492946392,1.4631197097944377,3.4058847239016528,10,0.920596533655784,1.532043530834341,3.1201128577186616,10,100
ksc,2,0.8419991938734381,0.8952035469568722,1.4062877871825876,3.502216848045143,0.8939943571140669,1.1841999193873438,3.3043127771060057,0.898428053204353,1.1229343006852075,3.154373236598146,10,0.9230149133413946,1.5292220878677953,3.0689238210399035,10,50
ksc,3,0.8335348649738009,0.8798871422813381,1.3764611043933899,3.7787182587666264,0.8810963321241435,1.1825876662636035,3.5606610237807335,0.879484079000403,1.132204756146715,3.542523176138654,3,0.8911729141475212,1.1809754131398629,3.3575171301894398,5,50
ksc,4,0.7831519548569126,0.8972188633615478,1.682789197904071,3.7384119306731156,0.8960096735187424,1.4631197097944377,3.542926239419589,0.8923821039903265,1.3978234582829505,3.5501813784764207,5,0.9230149133413946,1.6573962112051592,3.1970979443772674,10,100
ksc,5,0.7541313986295849,0.886739218057235,2.0802095929060864,4.345425231761387,0.8859330914953648,1.7114066908504635,3.992744860943168,0.8976219266424829,1.5562273276904475,3.60378879484079,10,0.8992341797662233,1.570334542523176,3.5856509471987104,10,30
ksc,6,0.6759371221281741,0.9161628375654978,2.7686416767432487,4.445384925433293,0.9137444578798871,2.611446997178557,4.336557839580814,0.9060862555421201,2.3043127771060057,4.182587666263603,10,0.9294639258363563,2.4554615074566706,3.8661829907295444,10,100
ksc,7,0.8278919790407094,0.894397420395002,1.4707779121322047,3.5828295042321643,0.9048770656993148,1.2462716646513503,3.1487303506650544,0.9028617492946392,1.1684804514308746,3.1112454655380897,5,0.909310761789601,1.3365578395808142,3.1503426037887947,5,100
ksc,8,0.8540910923014914,0.8948004836759371,1.5086658605401049,3.6126561870213623,0.9028617492946392,1.2091898428053205,3.151954856912535,0.9044740024183797,1.1479242241031842,3.0584441757355907,5,0.9161628375654978,1.1797662232970576,2.856509471987102,10,50
ksc,9,0.8931882305521966,0.8956066102378073,1.2736799677549375,3.3615477629987907,0.8935912938331319,1.0701330108827085,3.1983071342200726,0.894397420395002,1.044740024183797,3.1567916162837566,5,0.901652559451834,1.0616686819830714,3.0286174929463927,10,50
botswana,0,0.9633088725817212,0.895263509006004,0.9686457638425617,3.0633755837224816,0.8899266177451635,0.9359573048699132,3.1374249499666442,0.9006004002668445,0.9452968645763843,2.933288859239493,2,0.9032688458972649,0.933288859239493,2.8679119412941962,10,50
botswana,1,0.9539693128752502,0.9139426284189459,0.9919946631087392,2.71314209472982,0.9126084056037358,0.989993328885924,2.7378252168112076,0.9079386257505003,0.9439626417611742,2.7851901267511674,5,0.9072715143428952,0.9392928619079386,2.793862575050033,10,100
botswana,2,0.9546364242828552,0.8992661774516344,0.9879919946631087,3.0026684456304205,0.9072715143428952,1.0040026684456305,2.858572381587725,0.9166110740493663,0.9699799866577719,2.637758505670447,2,0.9112741827885257,0.9606404269513009,2.735156771180787,5,100
botswana,3,0.9573048699132756,0.895263509006004,0.9759839893262174,3.0707138092061372,0.9012675116744496,0.9486324216144096,2.923282188125417,0.8925950633755837,0.923282188125417,3.0713809206137426,3,0.9059372915276851,0.933288859239493,2.8145430286857906,10,100
botswana,4,0.9586390927284857,0.914609739826551,1.0033355570380253,2.711140760507005,0.9052701801200801,0.9686457638425617,2.8632421614409607,0.9019346230820547,0.9452968645763843,2.90660440293529,5,0.8972648432288192,0.9399599733155437,2.9946631087391595,5,100
botswana,5,0.8979319546364243,0.9006004002668445,1.1120747164776517,3.1000667111407605,0.9052701801200801,1.0346897931954637,2.9292861907938628,0.9012675116744496,1.0020013342228151,2.9766511007338226,3,0.9139426284189459,1.028018679119413,2.7491661107404934,10,50
botswana,6,0.9486324216144096,0.8965977318212142,0.9866577718478986,3.054703135423616,0.8919279519679787,0.961974649766511,3.123415610406938,0.8939292861907938,0.9319546364242829,3.0533689126084056,10,0.8939292861907938,0.9386257505003336,3.0600400266844563,3,100
botswana,7,0.9299533022014677,0.9052701801200801,1.027351567711808,2.9219479653102067,0.9126084056037358,1.0146764509673116,2.7625083388925953,0.885923949299533,0.9753168779186124,3.256837891927952,2,0.9106070713809206,0.9913275517011341,2.779186124082722,10,100
botswana,8,0.9559706470980653,0.8985990660440294,0.9666444296197465,2.9946631087391595,0.8925950633755837,0.9593062041360907,3.107404936624416,0.8925950633755837,0.9593062041360907,3.107404936624416,1,0.895263509006004,0.9359573048699132,3.030687124749833,3,50
botswana,9,0.8919279519679787,0.9052701801200801,1.1254169446297533,3.020013342228152,0.8965977318212142,1.0406937958639093,3.1087391594396263,0.9126084056037358,1.029352901934623,2.7771847898599065,10,0.9139426284189459,1.0433622414943295,2.7645096731154104,10,50
